,hours_machine,idle_percentage,operating_percentage,total_fuel,gal_hour,shovel,performance,coal_prod,waste_prod,haul_truck_15.0m3,haul_truck_24.0m3,haul_truck_25.0m3,haul_truck_27.0m3,truck_trips_15.0m3,truck_trips_24.0m3,truck_trips_25.0m3,truck_trips_27.0m3,rainfall_mm
20,10.391,8.80929469,98.68957934,86.838013076,5.168243223,XCMG 336-8,296.8,201.909,4887.5,11,2,1,1,208.9,98,28,72.6,3.3
21,6.904,0.80273262,91.71233974,0.8,11.976758585,JCB 390-10,119.7,273.007,15436.0,9,1,1,5,457.0,8,52,263.7,10.4
22,17.714,4.84051466,92.86346849,79.376537989,3.335670457,Hidromek 390-4,395.8,244.14,9615.6,7,0,1,5,306.6,87,29,84.3,17.5
23,10.772,14.8849763,100.0,112.66895174,9.240276027,Hidromek 390-4,69.7,68.85,8052.6,10,3,1,6,142.9,88,10,44.3,2.6
24,15.764,18.0,82.0,53.0,3.3621,Sany 320-1,202.5,220.575,4335.0,4,0,0,5,82.0,0,0,115.0,0.0
25,16.57,25.58184294,89.12990368,78.721433816,8.578671187,XCMG 336-8,207.5,102.339,6949.1,7,0,1,4,263.3,48,44,105.3,0.2
26,9.853,5.95087965,82.52960697,67.583353448,10.266180538,Sany 320-2,214.3,68.85,5665.2,5,2,0,2,56.0,70,12,34.2,2.2
27,11.059,23.29115252,85.19742839,1.141792634,4.891634621,XCMG 336-3,210.1,68.85,9978.3,5,3,1,4,56.0,36,36,75.0,27.0
28,9.358,32.27300032,87.69911486,119.386977768,3.750955954,XCMG 336-3,205.2,115.929,8255.0,7,0,1,1,232.5,87,27,271.7,1.9
29,8.15,82.0,95.3956976,57.664467284,11.414465904,JCB 390-10,179.3,166.731,7472.5,7,1,1,4,168.1,86,16,74.1,2.2
30,10.166,14.26448032,68.76725965,185.641161067,8.001801267,Sany 320-1,92.8,365.493,15436.0,9,0,1,4,292.2,76,65,94.1,3.3
31,9.911,9.05642954,94.01626753,34.655852472,7.646688104,Sany 320-1,261.6,68.85,8623.2,10,2,1,2,110.1,56,14,59.5,0.0
32,11.934,4.70433044,92.69212016,108.176079808,14.3591,XCMG 336-3,249.5,68.85,6753.6,7,1,1,6,56.0,76,13,76.8,0.0
33,10.271,10.0,90.0,85.8749,8.3609,XCMG 336-3,218.8,149.175,6473.0,7,2,1,3,124.0,52,32,95.0,0.0
34,16.225,11.55089937,99.45220815,142.535537181,13.670413854,Sany 320-1,197.4,68.85,15436.0,7,2,1,4,393.3,98,49,31.0,10.4
35,9.285,18.0,82.0,32.625,3.5137,Sany 320-1,202.5,70.125,6951.0,7,2,0,2,245.0,60,0,68.0,0.2
36,16.0,22.5,77.5,125.1,7.8,Hidromek 390-9,189.9,313.65,14763.5,11,1,1,4,445.0,54,53,202.5,2.0
37,2.582,3.12560809,87.01507806,64.091960218,5.036996385,Sany 320-1,220.5,68.85,7262.8,10,3,1,4,115.5,45,34,148.4,0.0
38,18.717,21.84296183,90.50394592,232.46,3.679136393,Hidromek 390-4,224.9,545.7,15436.0,8,0,1,5,457.0,12,52,141.7,0.0
39,16.5,14.5,85.5,136.4,8.2,Hidromek 390-4,190.2,198.9,9906.0,8,0,0,5,277.0,0,0,213.0,39.1
40,20.587,10.72840572,82.37847467,187.647092062,12.66039482,Hidromek 390-9,211.3,394.141,12084.8,9,1,1,6,457.0,11,39,271.6,0.0
41,11.075,27.59481463,74.61502305,85.379431612,11.016618478,Sany 320-1,213.6,68.85,7965.3,9,2,1,2,139.2,67,3,31.0,0.0
42,11.835,22.39292597,82.70342037,63.158758246,10.300024083,XCMG 336-3,217.7,120.786,10372.1,10,1,1,3,100.6,94,31,34.2,62.9
43,21.553,17.3431562,92.4862141,133.813291977,8.959920842,LiuGong 349-6,212.9,415.142,8526.1,7,1,1,5,457.0,49,40,97.8,0.0
44,11.298,17.31561379,83.50076091,24.219726409,3.20421734,JCB 390-10,31.7,68.85,4829.9,5,3,0,3,56.0,98,1,48.6,33.3
45,22.004,7.02017472,90.62496985,33.88777704,6.917557861,LiuGong 349-6,194.5,141.208,7697.8,10,1,1,6,332.8,7,11,59.3,0.7
46,19.67,8.6290618,91.57313076,108.66673995,4.184321515,LiuGong 349-6,228.0,118.316,8541.4,11,1,1,4,429.7,98,0,31.0,0.9
47,11.809,0.0,96.89374596,33.651434984,10.186040833,LiuGong 360-13,226.6,315.404,3471.5,7,1,1,6,143.5,93,38,31.0,0.0
48,9.678,4.42913561,74.13153347,73.897857731,4.440336789,XCMG 336-3,217.6,68.85,8702.2,7,2,1,4,56.0,83,59,31.0,1.4
49,20.166,30.6304514,81.96786154,232.46,8.83894641,Hidromek 390-9,70.8,319.991,15436.0,8,0,1,5,457.0,0,68,265.4,0.0
50,22.148,16.89088223,74.45598277,232.46,11.932982324,LiuGong 349-6,128.3,435.812,15436.0,11,0,1,5,457.0,9,68,242.6,0.0
51,18.331,3.47219448,84.47232326,226.392485656,3.634063909,LiuGong 349-6,345.8,297.512,14513.5,6,1,1,4,457.0,0,23,278.2,0.0
52,11.818,0.0,85.87579634,70.456304654,4.80941206,XCMG 336-3,225.8,78.812,8687.8,10,2,1,3,56.0,71,30,125.2,25.0
53,7.812,21.85357106,87.23625787,48.212789273,10.398186343,LiuGong 349-6,199.7,254.681,15436.0,11,2,1,6,315.3,75,19,258.0,1.6
54,9.165,10.99114554,69.3801699,95.458160225,9.459531212,XCMG 336-3,453.8,259.371,8692.9,5,2,0,5,180.2,64,49,31.0,2.6
55,16.86,24.33709696,87.8140503,117.973501188,12.125556273,Hidromek 390-4,161.4,193.749,9803.0,8,1,1,4,457.0,12,39,169.2,0.0
56,12.427,12.64545209,79.97502338,70.866710032,3.936081331,XCMG 336-3,227.4,212.369,7984.3,7,2,1,3,68.2,62,10,31.0,0.0
57,18.829,18.13410607,74.62077423,102.85039346,3.952037093,Sany 320-1,297.5,459.952,10908.8,9,2,1,5,396.3,98,52,172.8,32.1
58,10.266,20.735837,18.0,91.074223759,12.097598548,Sany 320-2,449.3,121.103,8654.9,6,2,1,2,149.9,83,22,31.0,5.3
59,11.844,8.33837012,91.67000288,214.336175258,10.870206894,LiuGong 349-6,295.2,191.506,9142.3,4,3,1,4,350.7,49,27,80.9,1.6
60,14.406,14.92258475,77.9942813,186.137281598,4.166652568,Sany 320-1,214.9,463.639,9094.1,9,3,1,4,322.4,12,51,244.4,0.0
61,19.681,5.29423609,93.86671764,67.452208855,8.961363563,Hidromek 390-9,160.3,447.636,7321.4,8,1,1,5,373.4,7,68,160.5,0.0
62,11.625,11.05461863,99.10290068,87.141544032,11.846164803,Sany 320-2,50.5,130.759,13167.7,9,0,1,4,369.9,2,49,154.0,0.1
63,16.066,43.66685245,86.84977774,70.721819904,11.553629924,Hidromek 390-4,179.1,262.934,13578.7,6,0,1,6,457.0,5,56,163.3,2.6
64,7.99,13.25580028,84.0365375,115.648744376,3.130055612,LiuGong 349-6,218.3,259.351,7742.9,6,1,1,4,287.4,4,14,149.1,3.0
65,7.964,9.86361481,78.4809004,74.111784919,9.288544904,XCMG 336-3,163.9,68.85,5152.0,7,2,1,4,125.9,98,37,115.4,0.9
66,7.539,17.65904354,85.91847641,9.374816435,10.143639418,Sany 320-2,231.8,358.197,6393.0,7,2,1,2,123.8,86,39,31.0,2.7
67,10.155,82.0,93.55887197,88.229520096,12.778136555,Hidromek 390-9,181.3,261.256,4888.3,7,2,1,2,56.0,83,30,31.0,4.5
68,10.0,41.83265158,97.92631889,107.442989562,12.665570302,Hidromek 390-4,83.5,240.591,4765.2,6,1,1,1,137.9,75,25,220.4,3.9
69,11.324,29.94895915,64.20431583,90.658787897,10.412042325,LiuGong 349-6,197.6,155.472,5479.6,7,2,1,4,81.4,47,6,66.4,21.6
70,10.316,22.07717101,77.65303925,108.775787178,13.913911514,JCB 360-14,205.3,293.52,15436.0,5,0,1,6,431.8,16,34,147.1,0.0
71,8.702,18.0,82.0,68.9999,7.9292,XCMG 336-3,234.8,95.625,6142.5,9,3,0,3,208.5,39,0,77.0,0.5
72,8.825,21.0,79.0,28.8751,3.272,Sany 320-1,202.5,118.575,8230.0,9,3,1,3,232.0,72,28,86.0,0.0
73,12.471,21.41853399,92.55284775,124.791867461,14.3591,Hidromek 390-9,206.6,87.048,8038.3,7,0,0,3,56.0,4,4,64.0,0.0
74,9.94,82.0,82.85202934,7.194347245,8.227970673,Sany 320-2,205.1,159.088,6991.8,7,3,0,3,104.9,35,0,31.0,1.8
75,10.335,17.34650009,95.38898399,62.08143707,8.792232289,Hidromek 390-9,208.7,68.85,6945.9,9,3,0,4,126.8,22,35,31.0,2.3
76,11.889,32.26584295,77.56485866,101.362219053,9.296445065,Sany 320-2,176.1,117.694,8077.0,7,2,0,2,56.0,98,24,99.6,24.9
77,9.791,20.58824193,78.80356319,71.431716714,6.885075927,LiuGong 349-6,144.7,207.648,4099.6,5,3,1,5,160.2,24,0,41.7,37.3
78,9.409,11.08390916,95.5857381,19.492378328,12.147007369,Sany 320-2,204.7,109.09,7822.9,5,1,1,6,60.8,43,9,31.0,60.8
79,12.148,10.02053994,89.80097944,214.624545146,7.04665531,Hidromek 390-9,129.8,171.565,6432.3,8,0,1,5,205.6,31,46,106.2,8.8
80,11.224,12.34250944,96.45855419,103.951081586,11.648222627,Sany 320-2,178.2,228.884,6874.2,6,0,1,5,347.8,98,36,159.5,0.2
81,11.078,15.33852596,88.93635066,84.022278475,2.511103406,Sany 320-2,64.7,175.055,7663.1,6,3,0,3,56.0,75,23,52.7,62.9
82,11.456,16.30603029,92.64665686,72.522964709,2.84089428,Sany 320-2,207.6,215.853,8449.6,7,0,0,4,335.2,68,30,58.4,2.3
83,17.785,5.82029149,79.47447996,0.8,14.231055464,XCMG 336-3,243.9,147.117,15436.0,7,1,1,5,158.4,11,29,122.1,0.0
84,11.661,13.36115633,93.10803812,87.194652469,2.290504038,Sany 320-1,243.5,96.057,9896.9,7,2,1,2,56.0,98,10,75.2,43.1
85,16.232,8.16519264,89.82187429,78.215573149,6.138386054,LiuGong 349-6,198.0,170.692,9431.4,8,2,1,4,75.1,32,27,254.7,0.8
86,4.531,14.0,86.0,16.0001,3.5312,Sany 320-1,202.5,89.25,7490.0,5,0,1,6,141.0,0,26,175.0,26.9
87,18.417,14.43984058,72.09280725,76.975354583,4.402907369,XCMG 336-3,223.3,214.909,9463.1,7,0,1,6,349.9,0,38,186.4,12.3
88,10.821,4.92287538,84.1277211,97.538920404,2.649315722,Hidromek 390-4,219.1,68.85,7510.4,7,1,1,4,56.0,36,11,104.3,1.1
89,8.717,7.17336017,74.76698284,46.142411829,12.080335268,XCMG 336-3,213.8,68.85,7389.3,9,3,0,3,90.0,98,23,137.9,40.5
90,21.921,19.55434388,97.10034975,230.691062227,5.461869253,Hidromek 390-4,177.4,351.152,15436.0,8,0,1,6,457.0,0,8,265.2,0.0
91,8.3,7.2,92.8,75.4,9.0,Hidromek 390-4,238.1,198.9,8946.0,10,3,0,3,309.0,84,0,85.0,0.0
92,6.787,18.0350554,80.61702956,184.620731118,14.3591,Hidromek 390-9,221.1,167.037,14877.9,8,0,1,2,457.0,1,47,280.0,0.0
93,8.28,8.58305396,94.74285997,0.8,14.3591,XCMG 336-3,174.4,301.193,4044.1,4,1,1,4,158.9,29,25,31.0,0.0
94,10.234,28.77486671,86.17552728,79.434611773,11.28385479,LiuGong 360-13,204.7,143.87,5776.1,5,3,1,2,56.0,48,23,60.5,22.3
95,12.163,82.0,81.32019568,86.609665094,4.490352156,LiuGong 349-6,179.4,68.85,9049.8,7,2,1,4,87.6,78,0,35.1,2.3
96,6.929,24.75653321,76.79458381,70.542817396,8.97241995,Sany 320-2,505.3,68.85,8400.5,7,2,1,5,160.1,56,32,160.0,0.0
97,8.278,27.93297546,89.98801841,53.778413353,10.595874623,Sany 320-1,237.9,203.122,8986.6,9,3,0,3,194.7,67,4,43.3,4.4
98,9.732,14.386719,93.75430934,0.8,14.3591,JCB 390-10,250.2,190.396,7931.7,4,2,1,3,87.2,53,22,31.0,26.0
99,19.081,17.35680751,82.64319249,188.9403487,9.902015023,LiuGong 349-6,241.5,427.125,13102.0,9,0,1,5,333.0,0,64,241.0,0.0
100,20.812,27.93652821,88.11485939,102.117251915,3.819078292,LiuGong 349-6,107.3,345.751,15436.0,8,0,1,5,330.1,13,17,266.0,2.3
101,10.541,12.50037321,68.56944306,80.574465751,9.727534262,JCB 390-10,217.4,180.65,10655.7,4,1,0,4,209.1,23,29,31.0,1.1
102,11.498,9.68294383,82.47826567,0.8,13.020444111,Sany 320-1,227.6,122.889,7496.9,7,2,1,3,56.0,30,9,106.9,0.0
103,17.032,18.0,82.0,59.6249,3.5008,Sany 320-1,167.3,75.225,13716.0,8,0,1,5,391.0,0,57,238.0,0.0
104,10.222,7.76951344,89.59733609,104.541068755,11.294897408,Sany 320-1,247.8,159.219,9559.7,6,1,1,6,196.5,50,30,31.0,1.4
105,10.7,14.8,85.2,126.26,11.8,LiuGong 349-6,167.9,357.0,11226.0,6,1,1,4,288.0,65,27,173.0,6.8
106,9.447,25.73429179,86.19423478,114.422039286,5.30356527,JCB 390-10,220.0,68.85,9177.8,5,3,0,5,60.9,98,43,45.9,0.0
107,11.262,15.42793829,85.43281256,46.876423622,11.25482417,Hidromek 390-9,224.7,68.85,8512.4,10,1,1,3,70.8,98,29,127.2,0.0
108,19.0,9.5,90.5,166.7,8.7,Hidromek 390-4,245.3,75.225,13716.0,8,0,1,5,391.0,0,57,238.0,0.0
109,11.937,9.53290019,86.38614622,88.42899865,11.310911651,XCMG 336-3,369.7,68.85,10028.5,10,0,1,4,122.5,86,51,31.0,35.5
110,14.582,6.04498462,86.61303931,232.46,14.3591,LiuGong 349-6,310.0,163.047,11619.6,11,0,1,5,204.3,44,21,272.3,2.0
111,12.368,12.47460497,92.12062724,99.473650208,10.176986574,JCB 390-10,213.8,186.512,8657.9,7,2,1,3,204.9,54,27,91.8,15.8
112,11.213,25.03298313,72.20367983,94.472252889,6.742773441,Hidromek 390-4,62.0,84.239,12752.5,6,0,1,5,273.7,59,41,107.5,5.7
113,6.2,14.5,85.5,43.0,6.8,Hidromek 390-4,201.9,242.25,4867.0,5,1,1,1,150.0,34,31,38.0,1.2
114,16.7,16.8,83.2,154.6,9.2,LiuGong 360-13,236.2,313.65,14763.5,11,1,1,4,445.0,54,53,202.5,2.0
115,21.491,25.4256729,94.29956368,232.46,11.738773198,Hidromek 390-4,350.5,414.959,15436.0,9,0,1,5,457.0,0,68,280.0,0.0
116,11.33,7.45116294,83.758705,83.517854261,8.418622842,Sany 320-2,207.2,68.85,10689.7,6,2,0,3,56.0,81,26,65.9,29.7
117,8.125,16.0,84.0,21.7501,2.6769,Sany 320-1,204.2,198.9,9906.0,8,0,0,5,277.0,0,0,213.0,39.1
118,9.381,11.0,89.0,76.1249,8.1148,XCMG 336-3,206.4,198.9,8946.0,10,3,0,3,309.0,84,0,85.0,0.0
119,9.593,18.4768635,91.91845808,61.734287319,13.774453387,Hidromek 390-4,196.5,68.85,9752.9,8,0,1,6,447.0,10,0,103.0,0.0
120,1.6,18.7,81.2,12.0,7.1,Hidromek 390-9,189.9,200.175,4401.0,6,1,1,2,105.0,30,27,53.0,3.5
121,10.756,56.12951359,60.56730884,44.005120791,4.500205455,JCB 390-10,191.7,107.746,7133.0,9,1,1,4,56.0,50,20,128.0,3.8
122,8.047,8.3396217,72.92167668,204.406270974,10.733929857,JCB 390-10,152.0,404.447,9006.2,5,0,1,4,457.0,74,31,280.0,32.6
123,7.523,29.88848112,57.89473974,98.377638211,5.4234654,Sany 320-2,184.2,68.85,8625.6,6,0,1,4,152.5,65,40,37.7,0.2
124,9.378,10.09940847,94.06554113,51.342171996,9.318400798,XCMG 336-3,222.5,90.214,8817.7,10,2,0,2,56.0,98,0,31.0,31.7
125,11.366,14.05423273,77.25555091,47.519560163,13.022314066,LiuGong 349-6,225.8,68.85,7109.8,9,3,1,4,171.6,44,50,36.4,0.0
126,8.17,0.0,79.61841892,74.461544005,2.37623691,Sany 320-1,276.8,424.826,7108.4,9,2,1,4,56.0,43,16,49.0,3.1
127,7.898,0.79754105,92.5234612,62.466739745,2.385736854,XCMG 336-3,505.3,241.605,9707.0,10,2,1,5,147.4,98,49,119.8,50.1
128,10.977,7.25544352,90.04953291,43.376793329,10.189228406,Sany 320-1,87.8,158.244,5698.2,9,1,1,6,56.0,98,10,83.2,0.0
129,11.733,9.83947917,100.0,146.987817093,8.039882197,XCMG 336-8,187.5,214.457,11611.4,10,1,1,4,116.5,32,68,31.8,17.4
130,22.148,9.46177751,92.76467695,107.870105253,6.18232191,Sany 320-1,202.6,222.835,15436.0,9,0,1,1,457.0,41,27,51.3,0.0
131,6.952,31.77410794,87.50203178,99.121948994,5.577623785,Hidromek 390-4,207.4,86.773,9645.6,8,2,1,2,179.2,0,24,31.0,3.3
132,16.856,13.37694581,70.27928298,211.944970814,4.080199529,XCMG 336-3,226.6,203.808,15310.5,9,3,1,6,385.0,78,31,238.2,0.0
133,10.21,22.85639066,86.4286917,81.262427226,11.492275936,XCMG 336-3,258.0,68.85,6836.1,9,2,1,2,142.4,93,0,31.0,0.2
134,10.131,0.93025347,86.06360221,78.97834333,12.602972793,JCB 390-10,207.2,68.85,6775.1,9,2,1,5,123.0,65,43,31.0,2.1
135,12.538,27.66090945,89.42448256,51.58214178,12.853800286,XCMG 336-3,201.6,237.263,15436.0,6,2,1,4,63.3,71,24,31.0,2.8
136,0.2,14.9071066,72.81326797,157.236073437,11.758654513,XCMG 336-3,119.9,316.053,15436.0,4,0,1,5,457.0,0,68,264.3,0.2
137,11.795,13.29056973,81.89028976,205.312626969,11.021776169,LiuGong 349-6,95.5,68.85,14088.9,6,0,1,4,357.9,0,38,31.0,0.0
138,18.051,22.43978306,80.49598743,61.130217658,6.830771507,Sany 320-1,131.2,226.88,8410.8,8,0,1,4,436.3,5,63,189.9,0.1
139,10.543,37.07044638,61.78193193,71.158386064,11.783121678,Hidromek 390-4,211.2,265.58,12486.3,10,1,1,4,214.6,12,43,87.0,2.3
140,11.071,4.58426987,85.63097528,37.536584573,8.551660899,Hidromek 390-4,103.2,291.737,5051.1,11,1,1,4,303.1,65,26,31.0,3.3
141,9.965,13.80433291,87.92113169,123.935823616,10.865763347,Sany 320-2,226.3,94.347,7905.1,4,3,1,3,181.6,98,0,73.6,0.0
142,9.268,27.58001326,87.06445946,127.924876946,4.213431603,JCB 390-10,462.3,68.85,4316.4,5,3,0,4,292.2,57,25,46.2,5.4
143,17.728,21.91142939,89.996633,84.018514734,10.126374167,Hidromek 390-9,206.2,68.85,10408.2,9,0,1,4,327.3,2,1,54.9,3.3
144,7.843,5.93536905,78.5876692,81.28244146,12.178139353,JCB 390-10,165.8,98.13,10119.9,6,1,0,4,180.0,49,23,85.1,4.0
145,12.088,28.16304507,87.86209099,75.776156297,8.023442193,Hidromek 390-4,100.8,156.689,10316.6,11,0,1,2,207.0,38,25,229.1,1.2
146,10.303,24.52705599,92.87150416,77.181053233,12.776803138,Sany 320-2,255.6,68.85,8444.4,10,1,1,3,56.6,98,25,31.0,0.0
147,13.605,10.0,90.0,102.3748,7.5248,LiuGong 349-6,241.5,360.825,10623.0,6,0,1,5,228.0,0,30,239.0,0.0
148,7.134,70.40988055,69.71456931,0.8,14.069069005,Hidromek 390-4,190.8,174.468,3162.0,6,2,1,2,82.2,98,0,54.1,0.7
149,22.148,26.0540266,84.50069982,131.283871427,6.137062491,Hidromek 390-9,246.3,321.003,15436.0,5,1,1,6,226.4,63,47,224.6,0.0
150,9.282,13.54147276,85.8885751,17.826946055,3.184700075,Sany 320-2,119.3,244.352,4888.1,9,0,1,4,56.0,63,35,31.0,0.8
151,0.981,2.44440227,84.94040759,3.056920393,10.861565588,LiuGong 349-6,196.7,123.161,8265.7,11,2,1,3,97.3,10,17,46.1,1.1
152,7.729,19.76059816,74.2318006,13.847920791,11.375037093,Sany 320-1,119.0,126.639,9124.5,6,0,0,1,338.7,0,28,31.0,0.6
153,9.369,25.27952996,83.22638287,58.286243087,3.3776462,Sany 320-1,181.0,128.671,4843.5,7,2,0,2,56.0,61,26,71.5,4.8
154,10.098,11.46559645,66.19608696,95.337409954,2.594419722,Sany 320-1,206.8,188.786,10120.4,9,2,1,2,308.8,58,35,87.3,0.3
155,15.229,21.28616199,75.52643607,55.620323136,13.541256754,Hidromek 390-9,174.2,299.8,15436.0,8,3,1,5,457.0,80,35,280.0,0.8
156,9.806,6.847593,91.73753318,35.365195676,6.098861712,LiuGong 349-6,229.3,68.85,8200.5,7,3,0,1,56.0,58,18,61.1,5.0
157,19.174,19.05255064,83.04068241,223.658013586,11.876158185,LiuGong 349-6,176.4,545.7,15436.0,8,0,1,5,457.0,0,68,245.1,0.0
158,18.65,29.7746122,54.59869297,232.46,11.525026889,Hidromek 390-9,229.0,309.497,15436.0,8,0,1,5,457.0,0,68,227.8,0.0
159,9.744,12.09036899,91.89534229,53.912144359,9.163030078,Sany 320-1,202.1,68.85,7148.7,9,2,0,3,150.4,45,29,31.0,9.6
160,5.314,17.91208506,91.17693506,81.748496779,1.2,Sany 320-1,320.5,344.787,8443.5,8,2,1,6,179.2,79,42,98.9,0.5
161,9.4,10.6,89.4,81.4,8.6,Hidromek 390-4,201.9,249.9,8976.0,10,2,1,3,283.0,59,30,95.0,19.0
162,15.384,11.14109721,84.9071519,75.060177074,12.104251801,LiuGong 360-13,170.8,449.43,15436.0,9,0,1,2,457.0,0,67,148.2,0.0
163,12.159,12.37395795,86.95909133,46.45788124,12.200371257,Sany 320-1,131.8,68.85,8742.4,10,0,1,4,108.7,73,26,86.6,9.9
164,9.16,10.0,90.0,98.1248,10.7123,LiuGong 349-6,317.8,156.825,6938.0,10,1,1,1,312.0,29,29,31.0,0.0
165,8.58,31.49124445,88.39501021,132.822711507,5.61373316,XCMG 336-3,209.3,193.163,5886.8,7,2,1,2,201.5,32,33,31.0,2.1
166,11.305,14.32982656,94.42252777,82.890886872,4.800823123,Sany 320-1,223.4,68.85,10439.5,9,2,1,3,177.0,55,24,46.2,1.4
167,8.0,27.5,72.5,55.2,6.8,Hidromek 390-4,201.9,96.9,5756.0,6,1,1,2,160.0,30,32,68.0,0.0
168,21.823,3.72709571,90.26707318,156.980950173,10.257218932,Hidromek 390-9,229.4,68.85,13315.6,10,0,1,5,333.8,6,20,216.3,0.0
169,17.646,15.18686636,87.00971336,83.116565545,8.182264405,Hidromek 390-9,110.0,407.243,15099.7,11,0,1,5,442.7,0,30,155.7,0.2
170,14.496,26.85028725,85.37918812,120.975634437,9.287590599,Sany 320-2,505.3,109.411,9916.8,7,2,1,4,126.9,0,43,110.3,0.0
171,19.3,10.9,89.1,168.5,8.7,Hidromek 390-9,232.1,484.5,11231.0,6,0,1,6,232.0,0,53,238.0,0.0
172,12.316,25.67560302,99.71346881,42.712120437,3.636117817,Hidromek 390-4,190.8,247.696,4409.3,7,2,1,3,56.0,66,38,31.0,27.8
173,7.4,14.9,85.1,70.1,9.4,LiuGong 360-13,141.2,365.925,14414.0,11,1,1,4,457.0,57,50,183.0,1.5
174,11.519,11.37381975,71.50660676,65.059992145,10.614611542,Sany 320-1,130.2,408.447,7526.1,10,0,1,6,288.5,51,29,221.2,2.0
175,9.557,30.0,70.0,24.875,2.6028,Sany 320-2,113.7,522.75,11913.0,7,1,1,6,177.0,45,42,264.0,0.0
176,16.6,14.8,85.2,195.88,11.8,LiuGong 349-6,247.5,522.75,11913.0,7,1,1,6,177.0,45,42,264.0,0.0
177,16.132,2.36005311,95.92666488,102.761855669,14.3591,XCMG 336-3,235.5,68.85,3835.6,5,2,1,3,78.3,65,8,102.1,3.9
178,16.219,20.0,80.0,58.4998,3.6069,Sany 320-2,113.7,427.125,13102.0,9,0,1,5,333.0,0,64,241.0,0.0
179,13.637,9.35317678,83.20809629,89.902623389,2.664692893,Sany 320-2,228.1,193.573,7541.2,8,1,1,3,431.3,92,17,31.0,17.2
180,10.138,7.2739609,86.73510787,66.219412135,10.287771862,Hidromek 390-4,97.7,122.181,13209.8,7,2,1,6,98.4,70,2,80.8,5.6
181,7.732,16.19702521,93.97110642,117.369610765,9.017575505,Sany 320-1,222.4,68.85,7985.1,9,0,1,4,356.7,65,33,62.0,12.2
182,17.247,5.99375565,97.42722872,43.488144643,9.125951867,XCMG 336-8,189.2,153.274,3162.0,8,3,1,4,139.2,15,26,165.2,7.3
